,8691/8,natural down/warm white up,Pendant,88W,5,480,0.032,__
,8695/4, 3COLOR ,Ceiling Lamp,56W,10,300,0.054,__
,8695/9, 3COLOR ,Ceiling Lamp,126W,3,690,0.13,__
,8696/400, 3COLOR ,Ceiling Lamp,39W,10,350,0.0375,__
,8696/600, 3COLOR ,Ceiling Lamp,63W,10,_520 ,0.088,__
,8696/800, 3COLOR ,Ceiling Lamp,113W,3,900,0.186,__
,8696/1000(1m 4FLOOR),two color,Ceiling Lamp,190W,2,"_1,680 ",0.363,
,8681-10D,do pendant 2 color,Pendant,140W,5,860,0.2,__
,MT 2090,warm white,Table lamp,5W,1,180,0.065,___
,MT 2090, natural light,Table lamp,5W,2,180,0.065,___
,MT 2070,warm white,Table lamp,20W,1,160,0.022,___
,MT 2070, natural light,Table lamp,20W,2,160,0.022,___
,PS6653-R8 ,3-colours,Pendant,115W,5,,,__
,6018/450,3color,Ceiling Lamp,53W,10,_300 ,0.039,__
,6018/600,3color,Ceiling Lamp,86W,10,_540 ,0.064,__
,6018/800,3color,Ceiling Lamp,133W,5,_765 ,0.122,__
,8721/9+1_,with remote can color changge and with dimmer,Pendant,99W,3, _790 ,0.12,__
,6036-8,natural  light,Pendant,72W,8,_310 ,0.097,___
,6036-8,warm white,Pendant,72W,2,_310 ,0.097,___
,MB8387,natural light,Wall Bracket,30W,30,120,0.018,___
,SL 3258-6, warm white   ,Standing Lamp,60W,1,490,0.124,___
,SL 3258-6,natural light,Standing Lamp,60W,1,490,0.124,___
,6029/10,natural  light,Chandelier,276W,5,1030,0.64,___
,6029/8,natural  light,Chandelier,178W,5,_760 ,0.39,___
,6260/6,warm white,Pendant,93W,3,780,0.05,___
,6260/6,natural  light,Pendant,93W,7,780,0.05,___
,6260/8,natural  light,Pendant,170W,4,1230,0.065,___
,6260/8,warm white,Pendant,170W,1,1230,0.065,___
,6271/53,natural  light,Ceiling Lamp,70W,10,490,0.07,___
,6271/66,natural  light,Ceiling Lamp,125W,10,930,0.128,___
,6271/86,natural  light,Ceiling Lamp,160W,5,1200,0.21,___
,LP-W501,,Wall Bracket,,,,,
,LP-W504,,Wall Bracket,,,,,
,LP-W502,,Wall Bracket,,,,,
,LP-W503,,Wall Bracket,,,,,
,,,Chandelier,,,,,
,,,Chandelier,,,,,
,,,Chandelier,,,,,
,,,Wall Bracket,,,,,
,6038-10+5,two color,Ceiling Lamp,75W,5,_320 ,0.09,_______
,8729/6+1,with remote can color changge and with dimmer,Pendant,69W,5, _530 ,0.17,__ 
,8385/5,3color,Pendant,60W,5, _560 ,0.073,__
,8392/3,natural  light,Dinning Lamp,36W,10,240,0.079,___
,8560-6,natural  light,Chandelier,170W,4,970,0.146,___
,8560-6,warm white,Chandelier,170W,1,970,0.146,___
,8560-3__800+600+400_,natural  light,Chandelier,100W,4,720,0.081,___
,8206/3change 8560/3,warm white,Chandelier,100W,1,720,0.081,___
,8555-600,natural  light,Pendant,67W,5,390,0.057,___
,8642/5D,natural  light,Pendant,63W,4,_415 ,0.081,___
,8642/5D,warm white,Pendant,63W,1,_415 ,0.081,___
,8091/10+5,LED 2835 3color with remote and dimmer   ,Ceiling Lamp,172W,5,"_1,200 ",0.33,__
,MB6962-1,natural  light,Wall Bracket,11W,5,_85,0.017,___
,MB6962-2,natural  light,Wall Bracket,22W,10,_120,0.023,___
,8576/6,same with model no color change ,Pendant,36W,10,_245 ,0.01,__
,8576/8,same with model no color change ,Pendant,64W,5,_450 ,0.023,__
,8576/10,same with model no color change ,Pendant,90W,3,_680 ,0.04,__
,8570/3,same with model no color change ,Chandelier,216W,3,_900,0.122,__
,6507/3,natural  light,Chandelier,135W,3,_890,0.122,___
,6507/2,natural  light,Chandelier,75W,3,_550,0.122,___
,8616/8,natural  light,Pendant,55W,4,_650 ,0.12,___
,8616/8,warm white,Pendant,55W,1,_650 ,0.12,___
,8331-3,natural  light,Chandelier,90W,3,1150,0.098,___
,8377-3,natural  light,Dinning Lamp,36W,18,170,0.03,___
,8377-3,warm white,Dinning Lamp,36W,2,170,0.03,___
,2085-3D,same with model (up day light down warm white) ,Pendant,54W,5,490,0.057,__
,8091-6D,natural  light,Pendant,66W,4, _340 ,0.056,___
,8091-6D,warm white,Pendant,66W,1, _340 ,0.056,___
,MB 650,natural  light,Wall Bracket,5W,10,80,0.003,___
,8862/4,natural  light,Pendant,40W,5,_305,0.072,___
,MJ6830B,natural  light,Wall Bracket,12W,20,130,0.013,___
,8546-5+5,same with model _ middle 3color outsider one color warm white,Ceiling Lamp,115W,5,_750 ,0.21,__
,MB8725-1,natural  light,Wall Bracket,9W,48,75,0.18,___
,MB8725-2,natural  light,Wall Bracket,18W,32,130,0.14,___
,MB8725-3,natural  light,Wall Bracket,27W,6,185,0.089,___
,6267/4+5+6BRONZE,natural  light,Chandelier,230,8,"_1,150 ",0.049,_____________
,6267/4+5+6BRONZE,warm white,Chandelier,230,2,"_1,150 ",0.049,_____________
,6024/4+6+8,LED 2835 3COLOR ,Chandelier,95W,5, _600 ,0.072,__
,8726-6+1,same with model 3color,Ceiling Lamp,84W,10,740,0.169,__
,8726-9+1,same with model 3color,Ceiling Lamp,139W,5,960,0.22,__
,8621/12+6,LED 2835 3color with remote and dimmer   ,Ceiling Lamp,138W,3,"_1,500 ",0.32,__
,MB6004/3  make bronze color ,LED one color  natrual  ,Wall Bracket,20W,20,_145 ,0.025,"______,___"
,8652/4,natural  light,Dinning Lamp,48W,10,425,0.075,__
,8652/6,natural  light,Dinning Lamp,72W,5,580,0.1,__
,8552/11D,natural  light,Pendant,77W,5,_495 ,0.138,__
,8390/3now change the to 8690/3,natural  light,Chandelier,,3,1240,0.32,______
,MB8090/2,natural  light,Wall Bracket,20W,10,_150 ,0.069,___
,2088-6D,same with model ,Pendant,72W,5,_490 ,0.057,__
,2088/16D_pendant price high than celling lamp),same with model ,Chandelier,274W,3,"_1,560 ",0.34,__
,MB8639-3_color like pendent),warm white,Wall Bracket,15W,12,_170,0.042,
,MB8639-2C(color like pendent),warm white,Wall Bracket,10W,12,_120,0.02,
,8639/6,natural  light,Chandelier,54W,1,_480,0.097,
,8639/6,LED ONE COLOR warm white ,Chandelier,54W,4,_480,0.097,__
,8639/9+6,natural  light,Chandelier,135,1,"_1,200",0.097+0.145,
,8639/9+6,LED ONE COLOR warm white ,Chandelier,135,4,"_1,200",0.097+0.145,__
,8639/6+6+6,natural  light,Chandelier,162,3,"_1,500",0.097,__
, 8529-5+10D,natural  light,Pendant,165W,4," _1,170 ",0.15,___
, 8529-5+10D, warm white,Pendant,165W,1," _1,170 ",0.15,___
,8055/65change  stainless steel base,natural  light,Ceiling Lamp,90W,3,_900 ,0.11,___
,8055/65change  stainless steel base, warm white,Ceiling Lamp,90W,2,_900 ,0.11,___
,8055/80 change  stainless steel base,natural  light,Ceiling Lamp,160W,2,"_1,350 ",0.162,___
,8055/80 change  stainless steel base, warm white,Ceiling Lamp,160W,1,"_1,350 ",0.162,___
,8056/75 change  stainless steel base,natural  light,Ceiling Lamp,130W,1,"_1,150 ",0.133,___
,8056/75 change  stainless steel base, warm white,Ceiling Lamp,130W,4,"_1,150 ",0.133,___
,8849/4,  natrue color ,Ceiling Lamp,40W,10,_460 ,0.14,___
,MB6312/1 BRONZE,  natrue color ,Wall Bracket,17W,20,_111 ,0.056,______ ______
,,,R-LIGHT,,,,,
,8685/800,two color,Ceiling Lamp,162W,5,_793 ,0.2,
,8685/1000,two color,Ceiling Lamp,252W,3,"_1,254 ",0.36,
,8565-300,one color,Wall Bracket,30W,20,_110 ,0.05,
,,,Recessed LED ,,,,,
